Company Name,Operating Revenue (FY23),Operating Revenue (FY22),Loss/ Profit (FY23),Loss/ Profit (FY22),Employee Benefit (FY23),Employee Benefit (FY22),Advertisement Spends (FY23),Advertisement Spend (FY22)
Acko,"1,758.60","1,334.40",-738.5,-482.3,349.3,183,559.2,309
Atlan,93.9,32.8,7.74,9.52,40.6,14.3,3.38,9.11
Apna,180.3,63.8,-120.3,-112.5,203.7,77.8,62,86
Ather Energy,"1,783.60",408.5,-864.5,-344.1,334.9,113.9,203.8,45.5
Awfis,545.3,257,-46.6,-57.1,95.8,54.1,–,–
BankBazaar,158.69,95.52,-36.71,-43.2,92.58,80.6,28.3,22.3
Beardo,106.6,94.8,-6.1,0.7,12.6,10.5,41.3,40.5
Bigbasket B2B,"9,468.40","8,497.70","-1,785.40","-1,040.60","1,060.70",915.1,385.1,200.4
Bigbasket B2C,"7,434","7,095.90","-1,535.20",-812.7,915.6,739.2,384.7,183.9
Bira 91,824.3,718.8,-445.4,-396,114.9,93.5,85.5,99.5
BlueStone,770.7,461.3,"-1,268.40",-167.2,91.1,41.7,84.1,42.3
boAt,"3,376.70","2,872.90",-129.4,68.7,99.4,56.1,427.6,99
BookMyShow,975.5,277.1,85.1,-92.2,137.6,111.9,53.6,9.6
CaratLane,"2,168.80","1,255.60",82,89.2,135.4,89.6,171.5,97.8
CarTrade,363.7,312.7,40.4,-121.3,205.3,332.7,–,–
Cashify,815.9,497.9,-147.9,-99,117.2,75.4,38,39.4
Cashfree Payments,613.8,349.9,-133.1,-3,198.4,95.6,37.9,16
Classplus,102,25.9,-256.6,-164,228.9,104.4,50.9,33.9
Clear,108.8,58.7,-233.5,-222.7,251,223.3,16.7,13.5
Cleartrip,49.8,55.3,-676.5,-356.4,247,90.2,183.7,91.9
CRED,"1,400.60",393.5,"-1,347.40","-1,280",789,307.6,713.4,975.7
Darwinbox,224.04,116.7,-158.25,-66,222,103.5,21.6,5.05
Delhivery,"7,225.30","6,882.20","-1,007.70","-1,011","1,400","1,313.20",–,–
Droneacharya,18.5,3.5,3.4,0.4,4.5,1.8,–,–
Dunzo,226.6,54.3,"-1,801.80",-464,338,138.3,309.7,64.4
EaseMyTrip,448.8,235.3,134.1,105.9,52.4,25.8,82.9,32.9
ElasticRun,"4,754.80","3,812.60",-618.8,-358.5,345.2,200.7,–,–
Flipkart B2B,"55,923.90","50,992.50","-4,845.70","-3,404.30",639.2,627.4,,
Flipkart B2C,"14,845.80","10,477.40","-4,026.50","-4,419.50","4,482.20","3,735.70","2,407.50","1,945.90"
Fractal,"1,985.40","1,295.30",194.4,-148.4,"1,767.20","1,107.90",,
Fino,94.8,35.6,65,42.7,155.6,133.2,–,–
FirstCry,"5,632.50","2,401.20",-486,-78.6,769.8,338.8,416.4,268.6
Gupshup,"1,618.50","1,132.10",49.2,39.9,213.2,110.6,,
Groww,"1,277.80",350.9,448.7,-239,286.7,229.8,243.8,254
HealthifyMe,228.7,185.2,-142,-157,116,93.8,115.9,133.1
HomeLane,573.8,426.1,-173.5,-150.8,191.5,119.4,71.3,70.3
Ideaforge,186,159.4,31.9,44,50.9,26.8,1.5,0.1
iD Fresh Food,479.2,381.6,-32.8,-70.3,110.5,92,35.3,27.9
IndiaMart,985.3,753.4,283.8,297.6,424.7,267.5,2.6,0.9
Indifi,197.9,96,5.1,-32.8,55.7,43.9,2.2,1.4
INDMoney,40.6,22,-73.9,-68.6,111.9,42.3,41,57
Info Edge,"2,345.70","1,589",-70.4,"1,288.20","1,097.30",746.3,408.2,286
InsuranceDekho,96.4,47.9,-51.5,-72.2,107,87.6,16.9,16.5
Jar,8.7,0.7,-122.8,-69.5,41,13.3,68.2,46.5
Jumbotail,819,377.36,-264.1,-124.7,101.5,52.3,17.11,9.1
Just Dial,844.7,646.9,162.7,70.8,651,504,–,–
Jupiter,7.1,0.4,-327,-156.3,158.5,63.6,74.5,50.1
LEAD,273.1,132.3,-321.9,-395.3,285.4,256.4,24.5,76.4
Licious,747.7,682.5,-528.5,-855.6,239.9,209.5,128.5,169.8
Mamaearth,"1,492.70",943.4,-150.9,14.4,164.8,78.8,530.2,391.4
mCaffeine,205.2,135.2,-91.6,-56.7,39.6,20,126.5,72.7
MSwipe,274.5,240.7,-49.1,-90,79.1,86.6,–,–
Mensa Brands,499.6,210.4,-227,-96.6,91.5,30.5,29.8,9
MapMyIndia,281.4,200.4,107.5,87,66.1,57.5,8.4,7.4
Matrimony,455.7,434.4,46.6,53.5,144,132.3,182.3,162.1
Medibuddy,298,234.1,-321.7,-259.3,135.1,70.9,114.5,119.5
Milk Mantra,273,267,-12.3,13.6,18.6,18.5,–,–
MobiKwik,539,526.5,-83.8,-128.1,98.2,107.2,4.4,8.4
Moglix,"4,675.40","2,560.00",-196.6,-175.7,295.2,217.7,–,–
Myntra,"4,375","3,501.20",-782.4,-597.6,631.8,522.5,"1,758.80","1,298"
Nazara,"1,091",621.7,61.4,50.7,149,88.1,239.9,201.7
NeoGrowth,380.8,361.5,17.2,-39.4,78.7,67.7,,
Ninjacart,"1,153.40",967.3,-326.3,-307.9,246.8,162.7,–,–
Noise,"1,426.50",792.8,0.9,35.5,50.5,21.3,284.9,89.1
Nykaa,"5,143.80","3,773.90",20.9,41.2,491.7,326.4,–,–
OfBusiness,"15,342.50","7,139.50",463.2,201.1,326.6,121.9,,
Ola Electric,"2,630.90",373,"-1,471.60",-783.4,426.7,282.4,61.4,49.4
OneCard,541.1,83.7,-405.6,-182.7,130.8,43.1,323.8,124.1
Oxyzo,570,313,197.5,69.3,78,45.8,–,–
OYO,"5,463.90","4,781.30","-1,286.50","-1,941.50","1,548.80","1,861.70",–,–
Paper Boat,504,324,-90.6,-53,54.7,42,13.2,11.9
PayMate,"1,350.00","1,280.90",-55.7,-57.7,50.5,49.7,,
Paytm,"7,990.30","4,974.20","-1,776.50","-2,396.40","3,778.30","2,431.90",951.6,790.7
PB Fintech,"2,557.80","1,424.80",-487.9,-832.9,"1,539.60","1,255.50","1,357.20",864.4
PhonePe,"2,913.70","1,646.20","-2,795.30","-2,013.70","3,096","1,741",671.3,866.2
Porter,"1,753.50",847.6,-157.7,-122,185.9,106,59,27.3
Pristyn Care,452.8,312.7,-382.5,-277.1,198.5,146.3,219.9,187.8
Purplle,474.9,219.8,-230,-203.6,170.5,85.1,266.5,176.9
Rapipay,439.2,371.4,-93.2,-39.9,114.1,42.4,–,–
RateGain,565.1,366.5,68.4,8.4,252.7,191.3,–,–
Recykal,745,190.4,-25.7,1.2,29.6,13.2,1,0.2
Rupeek,88.9,122.9,-281.6,-364.4,161.1,178.1,58.8,130.3
Servify,611.2,313,-229.1,"-2,860.80",182.7,126.2,,
Setu,14.2,11.6,-62,-28.4,58,28.9,–,–
ShareChat,552.7,346.9,"-5,144.20","-2,988.60",697.9,505.1,,
Shiprocket,"1,088.80",610.5,-333.8,-63.6,318.2,122,23.5,24.3
Skyroot Aersopace,0.4,0.01,-55.2,-23.7,16.5,8,,
Snapdeal,372,539.6,-282.2,-510.3,307.5,284.6,92,321.8
SUGAR Cosmetics,420,221.8,-76.2,-75.9,60.8,35.5,162.5,97.5
Tata 1mg,"1,627",627,"-1,254.80",-526.1,354.3,219.8,135.2,180.3
Testbook,56.1,35.2,-129.8,-48,94.9,31.8,30.4,14.9
Tracxn,78.1,63.4,33,-4.8,66.9,58.5,–,–
True Balance,431.1,243.8,58.8,3.4,39.5,24.7,29.2,51
True Elements,57.3,45.8,-18.6,-13.6,14.4,10.6,15,7.7
Udaan,"5,609.30","9,897.30","-2,075.90","-3,123.40",996.2,"1,203.50",40,68.4
Unicommerce,90,59,6.4,5.9,62,42.3,3.9,2.6
Uniphore,488.4,674.6,142.7,33.4,143.9,330.6,,
upGrad,"1,169.60",595,"-1,141.50",-648.2,707.4,393.7,371.4,403.7
Unacademy,907,719.2,"-1,678.10","-2,847.90","1,281","1,771.60",370.2,548.7
Urban Company,636.5,437.5,-312.4,-514.1,377,443.8,258.8,228.1
VerSe Innovation,"1,456.50",964.7,"-1,909.70","-2,563.30",811.4,731,,
Wakefit,812.6,632.5,-145.6,-106.5,105.7,91.5,95.9,61.2
Xpressbees,"2,531.50","1,904.40",-180.4,-27.1,322.9,185.7,15.3,8.8
Yulu Bikes,41.7,29,-95,-55.5,68,43.1,–,–
Zepto,"2,024.30",140.7,"-1,272",-390.3,263,50.73,215.8,175.5
Zerodha,"6,832.80","4,977.30","2,909","2,120.30",623,459,,
ZestMoney,243.7,138.4,-412.4,-398.8,130,93.3,165,97.8
Zomato,"7,079.40","4,192.40",-971,"-1,222.50","1,465","1,633.10","1,227.40","1,216.80"
